question,answer
What is your return policy?,Products can be returned within 30 days of delivery if they are unused and in their original packaging.
How long does delivery take?,Standard delivery takes 3 to 5 business days. Express delivery takes 1 to 2 business days.
How can I track my order?,You can track your order using the tracking number sent to your email after shipment.
Do you offer free shipping?,Yes. Orders above Rs. 3000 qualify for free standard shipping.
Can I cancel my order?,"Orders can be cancelled before they are shipped. Once shipped, cancellation is not possible."
What payment methods are accepted?,"We accept Visa, MasterCard, Debit Cards, JazzCash, EasyPaisa, and Cash on Delivery."
How do I contact customer support?,"Customer support is available via email, live chat, and phone from 9 AM to 9 PM."
Can I exchange a product?,Yes. Products can be exchanged within 30 days if they meet the exchange policy requirements.
What should I do if I receive a damaged product?,Please contact customer support within 48 hours and upload photos of the damaged product.
Can I change my delivery address?,Delivery addresses can only be changed before the order has been dispatched.
